objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , W1mag , W2mag , parallax, pmra   , pmde   , u_g                 , W1_W2
1237646587177469335, 90.4543094541071, 0.42347692320298    , 24.53863, 22.59084, 20.5771 , 19.48029, 18.75463, STAR , 0.0002334501 , 15.68 , 15.955, 0.6433  , -0.161 , -1.524 , 1.9477900000000012  , -0.27499962
1237646587177469593, 90.5147724291726, 0.343025801215354   , 24.97905, 21.82419, 20.03291, 18.8454 , 18.09984, STAR , 0.000270944  , 15.42 , 15.132, 2.0979  , 0.143  , -2.806 , 3.1548599999999993  , 0.2880001
1237646587177534089, 90.6020801755933, 0.391130363278821   , 22.43967, 20.0239 , 18.2653 , 17.00399, 16.38926, STAR , 0.0001278289 , 13.784, 13.676, 2.1974  , -10.234, -8.018 , 2.4157699999999984  , 0.108000755
1237646587177600445, 90.8011971920638, 0.300011693371176   , 23.94863, 21.53552, 19.74397, 18.41864, 17.61917, STAR , 6.630501e-05 , 14.882, 15.014, 1.5831  , -2.281 , -7.949 , 2.4131099999999996  , -0.13199997
1237646587177600560, 90.709031481231 , 0.232391149654661   , 23.67037, 22.50532, 20.58531, 19.0647 , 18.12042, STAR , 0.0002328274 , 15.2  , 15.217, 0.8876  , 5.841  , -9.968 , 1.1650499999999973  , -0.017000198
1237646587177600814, 90.7713852459095, 0.253930559415309   , 24.36516, 22.31549, 20.39227, 19.37585, 18.77971, QSO  , 0.4275764    , 16.05 , 16.094, 0.8008  , 3.265  , -6.109 , 2.049669999999999   , -0.044000626
1237646587177600989, 90.8177168812325, 0.218274752630657   , 24.39569, 22.46616, 20.47198, 18.94873, 18.05586, STAR , 8.912598e-05 , 15.192, 14.961, 2.2222  , -3.304 , -5.814 , 1.9295299999999997  , 0.23099995
1237646587177600995, 90.8191238781991, 0.294080786548749   , 26.01491, 22.15306, 20.28027, 19.28056, 18.57692, STAR , 0.0001211683 , 15.772, 16.038, 2.6193  , 4.74   , 2.914  , 3.8618500000000004  , -0.2659998
1237646587177601088, 90.8402889663188, 0.318683358591926   , 25.0404 , 22.83046, 20.86756, 19.44141, 18.63993, STAR , 0.0002711592 , 15.883, 15.997, 0.6762  , -0.511 , -2.236 , 2.209940000000003   , -0.11399937
1237646587177665831, 90.8627547911125, 0.338001693738481   , 22.89234, 20.72556, 19.15252, 17.60851, 16.76596, STAR , 1.770712e-05 , 14.259, 14.121, 4.5945  , -14.421, -1.271 , 2.1667799999999993  , 0.13799953
1237646587177666044, 90.8748410052524, 0.355496109390515   , 24.43878, 21.68271, 19.91762, 18.67477, 17.86921, STAR , 0.0003999904 , 15.324, 15.274, 0.9591  , 7.583  , -1.486 , 2.756070000000001   , 0.05000019
1237646587177666064, 90.9478915329541, 0.387331583378882   , 23.52233, 21.80503, 20.02626, 18.71383, 17.90501, STAR , 0.0001617777 , 15.27 , 15.307, 1.4669  , -17.255, 10.639 , 1.7173000000000016  , -0.036999702
1237646587177666066, 90.952534307558 , 0.257468579659069   , 23.74422, 21.60644, 19.78603, 18.42016, 17.64885, STAR , 1.574499e-05 , 14.926, 14.894, 2.1529  , 5.107  , -21.85 , 2.1377799999999993  , 0.031999588
1237646587177666368, 90.9158669468071, 0.236017938780209   , 24.42851, 22.46686, 20.53025, 19.19628, 18.40491, STAR , 0.0003381527 , 15.476, 15.701, 1.3123  , -5.67  , 4.275  , 1.9616499999999988  , -0.22500038
1237646587177731682, 91.0552597579068, 0.280554175951456   , 24.3765 , 22.13762, 20.50108, 18.77315, 17.84093, STAR , 8.789587e-05 , 15.218, 15.116, 4.0347  , -17.449, -2.663 , 2.2388800000000018  , 0.10200024
1237646587177731721, 91.1327783902366, 0.257918726362048   , 23.78035, 21.43197, 19.71778, 18.3235 , 17.53764, STAR , -6.474058e-06, 14.814, 14.631, 1.8341  , -8.335 , -16.782, 2.348379999999999   , 0.18300056
1237646587177731849, 91.0039198805231, 0.40875890829855    , 24.70184, 21.97643, 20.23078, 18.79844, 17.96864, STAR , 7.56588e-05  , 15.259, 15.379, 2.2912  , 5.421  , -12.231, 2.72541             , -0.119999886
